run,phase,step_end,phase_step_end,count,accuracy,oracle_accuracy,regret,cumulative_phase_regret
health_A,1,200,200,200,0.585,0.96,75,75
health_A,1,400,400,200,0.77,0.95,36,111
health_A,1,600,600,200,0.835,0.945,22,133
health_A,1,800,800,200,0.82,0.93,22,155
health_A,1,1000,1000,200,0.85,0.945,19,174
health_A,1,1200,1200,200,0.815,0.945,26,200
health_A,1,1400,1400,200,0.825,0.94,23,223
health_A,1,1600,1600,200,0.88,0.96,16,239
health_A,1,1800,1800,200,0.84,0.955,23,262
health_A,1,2000,2000,200,0.775,0.915,28,290
health_A,1,2200,2200,200,0.84,0.945,21,311
health_A,1,2400,2400,200,0.865,0.97,21,332
health_A,1,2600,2600,200,0.82,0.935,23,355
health_A,1,2800,2800,200,0.835,0.97,27,382
health_A,1,3000,3000,200,0.86,0.945,17,399
health_A,1,3200,3200,200,0.87,0.94,14,413
health_A,1,3400,3400,200,0.855,0.97,23,436
health_A,1,3600,3600,200,0.84,0.935,19,455
health_A,1,3800,3800,200,0.86,0.945,17,472
health_A,1,4000,4000,200,0.865,0.965,20,492
health_A,1,4200,4200,200,0.83,0.935,21,513
health_A,1,4400,4400,200,0.895,0.98,17,530
health_A,1,4600,4600,200,0.84,0.955,23,553
health_A,1,4800,4800,200,0.89,0.955,13,566
health_A,1,5000,5000,200,0.925,0.96,7,573
health_A,1,5200,5200,200,0.875,0.96,17,590
health_A,1,5400,5400,200,0.855,0.955,20,610
health_A,1,5600,5600,200,0.835,0.935,20,630
health_A,1,5800,5800,200,0.87,0.95,16,646
health_A,1,6000,6000,200,0.815,0.93,23,669
health_A,1,6200,6200,200,0.85,0.945,19,688
health_A,1,6400,6400,200,0.83,0.92,18,706
health_A,1,6600,6600,200,0.895,0.945,10,716
health_A,1,6800,6800,200,0.82,0.93,22,738
health_A,1,7000,7000,200,0.875,0.96,17,755
health_A,1,7200,7200,200,0.85,0.95,20,775
health_A,1,7400,7400,200,0.825,0.97,29,804
health_A,1,7600,7600,200,0.835,0.95,23,827
health_A,1,7800,7800,200,0.845,0.98,27,854
health_A,1,8000,8000,200,0.86,0.935,15,869
health_A,1,8200,8200,200,0.87,0.96,18,887
health_A,1,8400,8400,200,0.87,0.96,18,905
health_A,1,8600,8600,200,0.87,0.965,19,924
health_A,1,8800,8800,200,0.845,0.935,18,942
health_A,1,9000,9000,200,0.91,0.975,13,955
health_A,1,9200,9200,200,0.81,0.93,24,979
health_A,1,9400,9400,200,0.87,0.935,13,992
health_A,1,9600,9600,200,0.86,0.965,21,1013
health_A,1,9800,9800,200,0.835,0.93,19,1032
health_A,1,10000,10000,200,0.885,0.97,17,1049
health_replay,1,200,200,200,0.68,0.96,56,56
health_replay,1,400,400,200,0.865,0.95,17,73
health_replay,1,600,600,200,0.845,0.945,20,93
health_replay,1,800,800,200,0.83,0.93,20,113
health_replay,1,1000,1000,200,0.88,0.945,13,126
health_replay,1,1200,1200,200,0.845,0.945,20,146
health_replay,1,1400,1400,200,0.84,0.94,20,166
health_replay,1,1600,1600,200,0.855,0.96,21,187
health_replay,1,1800,1800,200,0.855,0.955,20,207
health_replay,1,2000,2000,200,0.79,0.915,25,232
health_replay,1,2200,2200,200,0.82,0.945,25,257
health_replay,1,2400,2400,200,0.805,0.97,33,290
health_replay,1,2600,2600,200,0.815,0.935,24,314
health_replay,1,2800,2800,200,0.82,0.97,30,344
health_replay,1,3000,3000,200,0.875,0.945,14,358
health_replay,1,3200,3200,200,0.845,0.94,19,377
health_replay,1,3400,3400,200,0.875,0.97,19,396
health_replay,1,3600,3600,200,0.795,0.935,28,424
health_replay,1,3800,3800,200,0.85,0.945,19,443
health_replay,1,4000,4000,200,0.865,0.965,20,463
health_replay,1,4200,4200,200,0.785,0.935,30,493
health_replay,1,4400,4400,200,0.835,0.98,29,522
health_replay,1,4600,4600,200,0.81,0.955,29,551
health_replay,1,4800,4800,200,0.81,0.955,29,580
health_replay,1,5000,5000,200,0.885,0.96,15,595
health_replay,1,5200,5200,200,0.81,0.96,30,625
health_replay,1,5400,5400,200,0.82,0.955,27,652
health_replay,1,5600,5600,200,0.8,0.935,27,679
health_replay,1,5800,5800,200,0.835,0.95,23,702
health_replay,1,6000,6000,200,0.815,0.93,23,725
health_replay,1,6200,6200,200,0.8,0.945,29,754
health_replay,1,6400,6400,200,0.815,0.92,21,775
health_replay,1,6600,6600,200,0.845,0.945,20,795
health_replay,1,6800,6800,200,0.8,0.93,26,821
health_replay,1,7000,7000,200,0.835,0.96,25,846
health_replay,1,7200,7200,200,0.785,0.95,33,879
health_replay,1,7400,7400,200,0.805,0.97,33,912
health_replay,1,7600,7600,200,0.815,0.95,27,939
health_replay,1,7800,7800,200,0.8,0.98,36,975
health_replay,1,8000,8000,200,0.77,0.935,33,1008
health_replay,1,8200,8200,200,0.83,0.96,26,1034
health_replay,1,8400,8400,200,0.8,0.96,32,1066
health_replay,1,8600,8600,200,0.875,0.965,18,1084
health_replay,1,8800,8800,200,0.82,0.935,23,1107
health_replay,1,9000,9000,200,0.855,0.975,24,1131
health_replay,1,9200,9200,200,0.805,0.93,25,1156
health_replay,1,9400,9400,200,0.81,0.935,25,1181
health_replay,1,9600,9600,200,0.835,0.965,26,1207
health_replay,1,9800,9800,200,0.81,0.93,24,1231
health_replay,1,10000,10000,200,0.825,0.97,29,1260
stream_A,1,200,200,200,0.595,0.94,69,69
stream_A,1,400,400,200,0.745,0.945,40,109
stream_A,1,600,600,200,0.76,0.935,35,144
stream_A,1,800,800,200,0.805,0.955,30,174
stream_A,1,1000,1000,200,0.825,0.94,23,197
stream_A,1,1200,1200,200,0.835,0.94,21,218
stream_A,1,1400,1400,200,0.86,0.98,24,242
stream_A,1,1600,1600,200,0.865,0.965,20,262
stream_A,1,1800,1800,200,0.785,0.925,28,290
stream_A,1,2000,2000,200,0.84,0.96,24,314
stream_A,1,2200,2200,200,0.85,0.96,22,336
stream_A,1,2400,2400,200,0.855,0.95,19,355
stream_A,1,2600,2600,200,0.845,0.955,22,377
stream_A,1,2800,2800,200,0.82,0.95,26,403
stream_A,1,3000,3000,200,0.86,0.94,16,419
stream_A,1,3200,3200,200,0.89,0.965,15,434
stream_A,1,3400,3400,200,0.82,0.93,22,456
stream_A,1,3600,3600,200,0.845,0.975,26,482
stream_A,1,3800,3800,200,0.86,0.955,19,501
stream_A,1,4000,4000,200,0.88,0.955,15,516
stream_A,1,4200,4200,200,0.88,0.98,20,536
stream_A,1,4400,4400,200,0.855,0.955,20,556
stream_A,1,4600,4600,200,0.84,0.95,22,578
stream_A,1,4800,4800,200,0.865,0.945,16,594
stream_A,1,5000,5000,200,0.835,0.96,25,619
stream_A,2,5200,200,200,0.82,0.925,21,21
stream_A,2,5400,400,200,0.845,0.965,24,45
stream_A,2,5600,600,200,0.87,0.985,23,68
stream_A,2,5800,800,200,0.86,0.955,19,87
stream_A,2,6000,1000,200,0.86,0.945,17,104
stream_A,2,6200,1200,200,0.835,0.94,21,125
stream_A,2,6400,1400,200,0.86,0.975,23,148
stream_A,2,6600,1600,200,0.865,0.955,18,166
stream_A,2,6800,1800,200,0.85,0.945,19,185
stream_A,2,7000,2000,200,0.855,0.965,22,207
stream_A,2,7200,2200,200,0.84,0.96,24,231
